Date,Open,High,Low,Close,Volume
2023-07-05,131.36,131.855,131.06,131.57,7942087
2023-07-06,130.69,131.01,130.19,130.52,8213056
2023-07-07,129.8,130.26,128.93,129,8749818
2023-07-10,129.01,130.18,129,130.02,7476636
2023-07-11,129.84,130.47,129.48,130.05,7279219
2023-07-12,130.38,130.5,129.49,129.7,11900408
2023-07-13,130.03,130.36,129.615,129.75,7526169
2023-07-14,130.73,132.115,130.59,131.7,13298785
2023-07-17,131.35,131.63,130.61,131.1,7905359
2023-07-18,131.15,132.565,130.91,132.07,8130367
2023-07-19,132.72,133.51,132.45,132.68,12483992
2023-07-20,133.57,135.43,133.47,134.88,12650212
2023-07-21,135.01,136.66,134.78,136.24,11308875
2023-07-24,136.24,136.845,135.8201,135.94,12034090
2023-07-25,135.03,136.425,134.85,135.88,7803014
2023-07-26,135.23,136.23,134.875,135.79,8205316
2023-07-27,135.99,136.48,134.76,134.79,8800817
2023-07-28,135.2,135.42,134.415,135.19,6897797
2023-07-31,134.95,135,133.645,134.15,9736656
2023-08-01,133.84,134.33,133.115,133.45,10555724
2023-08-02,133.48,134.39,133.18,133.54,13873282
2023-08-03,133.1,133.27,132.61,132.87,11863532
2023-08-04,132.91,133.73,132.075,132.4,12631301
2023-08-07,132.8,134.055,132.73,133.93,8165679
2023-08-08,134.78,135.13,134.045,134.96,12601218
2023-08-09,134.84,135.65,134.75,134.92,9833747
2023-08-10,135.25,136.53,134.69,134.83,9541846
2023-08-11,134.79,135.83,134.47,135.67,7674453
2023-08-14,135.69,136.51,135.57,136.08,8723326
2023-08-15,135.74,136.14,135.43,135.58,9118521
2023-08-16,135.36,135.8,134.52,134.55,9462496
2023-08-17,134.07,134.54,133.415,133.48,11163782
2023-08-18,133.22,133.875,133.1,133.53,9463221
2023-08-21,133.48,133.83,133.055,133.67,6872444
2023-08-22,133.47,133.79,133.13,133.2,6939610
2023-08-23,134,134.3,133.205,133.6,7276780
2023-08-24,133.34,134.39,132.44,132.44,10241732
2023-08-25,132.87,133.88,132.42,133.41,8509077
2023-08-28,133.88,134.31,133.225,133.72,6768441
2023-08-29,133.9,134.92,133.72,134.92,10736986
2023-08-30,135.25,135.66,134.7,134.82,7892678
2023-08-31,134.84,134.91,133.18,133.21,7540165
2023-09-01,134.24,134.24,133.22,133.57,10183853
2023-09-05,133.64,133.735,132.19,132.19,11042676
2023-09-06,132.03,132.16,130.83,131.47,12840059
2023-09-07,131.87,132.625,131.77,132.06,11055727
2023-09-08,131.78,132.46,131.75,132.06,8717030
2023-09-11,132,133.225,131.98,132.97,7178983
2023-09-12,132.57,133.145,131.851,132.8,6941890
2023-09-13,132.48,133.35,132.44,132.82,6430300
2023-09-14,133.57,133.65,132.84,133.24,6433355
2023-09-15,132.92,133.5482,132.095,132.19,9612005
2023-09-18,131.86,131.99,130.95,131.45,6559420
2023-09-19,131.23,131.84,130.68,131.56,6252402
2023-09-20,132.14,132.51,131.55,131.57,6350825
2023-09-21,131.32,131.535,130.36,130.42,7979573
2023-09-22,130.25,130.92,130,130.15,7790307
2023-09-25,130.02,130.895,129.66,130.86,6826343
2023-09-26,130.26,130.675,129.65,129.75,8200850
2023-09-27,129.99,130.12,128.15,129.1,9888551
2023-09-28,129.32,130.09,129.32,129.72,9129071
2023-09-29,130,130.12,128.545,128.74,12692668
2023-10-02,128.33,128.6,127.06,128.56,16035101
2023-10-03,127.93,128.2,126.88,127.42,11971088
2023-10-04,127.53,128.14,126.93,127.96,10064397
2023-10-05,128.25,128.89,127.52,128.66,9609778
2023-10-06,128.3,130.42,128.23,130.01,10692361
2023-10-09,129.65,130.58,129.125,130.46,8047600
2023-10-10,130.42,131.6699,129.97,131.08,8154935
2023-10-11,131.24,131.45,129.92,130.5,9591851
2023-10-12,130.6,130.85,129.28,129.38,10927662
2023-10-13,129.86,130.94,129.46,130.19,11383864
2023-10-16,130.71,131.92,130.6,131.17,10544998
2023-10-17,130.54,131.705,130.435,130.99,9149878
2023-10-18,131.17,131.54,129.6225,129.85,10085684
2023-10-19,129.68,129.815,127.77,128.57,15492635
2023-10-20,128.31,128.98,128.04,128.06,12296754
2023-10-23,127.97,128.4,127.14,127.26,12344261
2023-10-24,126.85,128.05,126.85,127.65,9375911
2023-10-25,127.07,127.46,125.57,126.51,11426996
2023-10-26,125.47,126.41,125.16,125.26,14699250
2023-10-27,124.91,125.07,122.59,123.14,13566218
2023-10-30,123.78,124.21,122.89,123.83,15224553
2023-10-31,124.27,124.7,123.55,124.54,13917381
2023-11-01,124.39,125.41,124.17,124.8,13802706
2023-11-02,125.28,126.89,124.95,126.78,11894138
2023-11-03,127.65,128.2,127.2,127.41,11635623
2023-11-06,127.95,128.46,127.43,128.26,8425100
2023-11-07,128.21,128.66,127.87,128.35,8241885
2023-11-08,128.89,128.89,127.39,128.17,10021074
2023-11-09,128.05,128.2,125.4,125.52,13905623
2023-11-10,126,126.45,124.6,126.27,10401721
2023-11-13,126.4,127.25,125.67,127,11373790
2023-11-14,127.73,128.705,127.41,127.86,11217020
2023-11-15,127.95,128.47,127.64,127.96,9262770
2023-11-16,128.34,128.78,127.845,128.51,7665861
2023-11-17,128.78,128.99,127.864,128.25,6766199
2023-11-20,127.75,129.31,127.66,129.03,6910104
2023-11-21,129.47,130.07,129.31,129.81,8373031
2023-11-22,130.24,130.74,130.0698,130.43,6737701
2023-11-24,130.69,131.155,130.68,131.13,3708830
2023-11-27,130.85,131.29,130.07,130.31,10530278
2023-11-28,130.08,130.37,129.55,129.64,6261342
2023-11-29,129.5,130.38,129.44,129.68,6979033
2023-11-30,129.78,131.385,129.33,131.31,7743059
2023-12-01,131.13,131.97,131.03,131.83,9370974
2023-12-04,131.48,132.33,131.435,132.08,6943917
2023-12-05,131.81,132.12,131.09,131.91,6581075
2023-12-06,132.2,132.45,131.75,132.01,6210408
2023-12-07,132.03,132.35,131.245,131.85,6396695
2023-12-08,131.94,132.38,131.275,132.07,6007674
2023-12-11,132.78,133.19,132.13,132.94,9016882
2023-12-12,133.13,133.7,132.5,133.51,6779064
2023-12-13,132.94,136.01,132.76,135.97,9074339
2023-12-14,136.43,136.51,134.8,135.31,10098714
2023-12-15,134.68,134.94,133.66,134.16,8296654
2023-12-18,134.06,134.2,133.43,133.78,5944319
2023-12-19,133.95,134.75,133.74,134.68,6358227
2023-12-20,134.6,134.68,132.72,132.73,7299039
2023-12-21,133.53,134.445,133.22,134.35,5606916
2023-12-22,134.68,135.44,134.475,135.02,5355138
2023-12-26,134.91,135.675,134.74,135.32,3688653
2023-12-27,135.17,135.98,135.14,135.89,5444087
2023-12-28,136,136.695,135.98,136.24,5800264
2023-12-29,136.24,136.62,135.825,136.38,5590052
2024-01-02,136.04,139.05,135.965,138.78,11785898
2024-01-03,139.24,139.53,138.38,138.55,9584991
2024-01-04,138.98,140,138.74,139.24,11649191
2024-01-05,138.92,139.7,138.5301,139.12,9437671
2024-01-08,139.16,140.38,138.59,140.35,7999385
2024-01-09,140.2,141.56,139.87,140.33,9201275
2024-01-10,140.41,141.14,139.88,140.97,9773320
2024-01-11,140.79,141.025,140,140.87,7182331
2024-01-12,140.48,141.16,140.05,140.52,8026508
2024-01-16,140.17,140.36,139.46,139.68,7426944
2024-01-17,139.45,140.09,139.01,139.4,8337301
2024-01-18,138.2,139.515,137.52,139.38,8929332
2024-01-19,139.46,139.82,138.69,139.46,8842008
2024-01-22,139.58,140.44,139.23,140.07,7831379
2024-01-23,139.89,140.06,138.965,139.97,6407411
2024-01-24,140.34,140.675,138.67,138.69,9104974
2024-01-25,138.2,138.51,137.21,138.48,10050187
2024-01-26,139.44,139.56,138.92,139.27,5759212
2024-01-29,139.4,140.26,139.31,140.25,6229620
2024-01-30,140.48,140.82,139.805,140.57,5940340
2024-01-31,141.64,141.75,140.35,140.38,10223101
2024-02-01,140.55,142.2,139.87,142.2,8503745
2024-02-02,142.15,142.645,141.27,141.99,10629354
2024-02-05,142.5,143.31,141.78,142.43,9631688
2024-02-06,143.54,144.0854,142.825,143.98,10159041
2024-02-07,144.34,145.03,144.07,144.37,7884600
2024-02-08,144.23,144.23,143.465,144.12,6672616
2024-02-09,144.06,144.29,143.545,144.01,7447802
2024-02-12,143.82,144.2354,143.14,144.2,6645456
2024-02-13,143.47,144.47,142.15,142.86,11170135
2024-02-14,143.35,144.15,143.075,144.1,9701053
2024-02-15,144.2,145.43,143.99,145.15,9294805
2024-02-16,145.34,146.605,144.82,145.62,8424290
2024-02-20,145.73,146.19,144.765,145.13,9120550
2024-02-21,144.66,145.49,144.24,145.45,7213773
2024-02-22,145.64,147.4301,145.33,147.16,9130025
2024-02-23,147.66,148.2701,147.34,147.86,9194718
2024-02-26,147.77,148.11,146.965,147.1,7248352
2024-02-27,146.38,147.186,146.035,146.74,7374135
2024-02-28,146.12,146.28,145.32,146.01,8038813
2024-02-29,146,146.24,144.72,144.82,9435636
2024-03-01,145.15,146.439,144.51,146.34,8741586
2024-03-04,145.92,146.68,145.77,146.12,10657870
2024-03-05,146.17,146.41,144.55,145.03,9743609
2024-03-06,145.3,146.56,145.3,146.02,8085410
2024-03-07,146.38,147.05,146.175,146.7,6438276
2024-03-08,146.56,147.25,146.17,146.43,7802515
2024-03-11,146.1,146.61,145.295,146.35,7724013
2024-03-12,146.45,147.39,145.96,147.03,7143931
2024-03-13,147.59,147.7,145.89,146.46,7874171
2024-03-14,146.55,146.66,145.125,145.94,9605786
2024-03-15,145.02,145.66,144.845,145.36,10570477
2024-03-18,145.43,145.57,144.72,144.82,6407158
2024-03-19,144.94,145.87,144.52,145.78,5240260
2024-03-20,145.43,145.5,144.635,145.45,8268171
2024-03-21,145.75,146.17,145.34,145.64,8865259
2024-03-22,145.85,146.22,145.265,145.44,5537224
2024-03-25,145.705,145.86,145.011,145.24,5252964
2024-03-26,145.53,145.94,145.14,145.77,6942438
2024-03-27,147.01,147.71,146.62,147.71,8797533
2024-03-28,147.92,148.2317,147.675,147.73,8090182
2024-04-01,147.64,147.73,145.935,146.47,7378313
2024-04-02,144.49,144.65,143.435,144.19,10776352
2024-04-03,144.44,145.09,143.685,144.03,8453547
2024-04-04,144.93,145.02,141.87,141.95,12685712
2024-04-05,141.725,143.685,141.61,143.22,9073220
2024-04-08,143.11,143.11,142.54,142.76,9128151
2024-04-09,143.07,143.355,142.28,143.27,10534543
2024-04-10,141.84,142.24,141.1,141.59,13052725
2024-04-11,142.02,142.05,140.595,141.01,8153938
2024-04-12,140.28,140.29,138.46,138.91,13799443
2024-04-15,140.12,140.63,138.41,138.63,10383735
2024-04-16,139.83,139.83,138.585,138.68,10170538
2024-04-17,139.49,139.62,138.215,138.44,8480148
2024-04-18,138.53,139.25,138.21,138.43,8105813
2024-04-19,139.15,139.34,138.445,138.95,9667295
2024-04-22,139.38,140.59,138.93,139.48,8531342
2024-04-23,140.82,141.56,140.18,141.3,8615525
2024-04-24,140.99,141.15,140.215,140.86,7378594
2024-04-25,140.77,141,139.2,139.92,9693507
2024-04-26,139.4,140.33,139.3,139.96,6013758
2024-04-29,140.13,140.83,139.73,140.43,6388634
2024-04-30,140.9,141.2,140.23,140.33,9677720
2024-05-01,139.71,141.84,139.55,140.58,10710293
2024-05-02,141.34,141.44,139.72,140.48,8425562
2024-05-03,141.09,141.23,140.1,140.83,8539319
2024-05-06,140.95,141.435,140.64,141.4,5605118
2024-05-07,141.72,142.695,141.7,142.57,7720646
2024-05-08,142.86,142.88,141.9,142.08,5461097
2024-05-09,142.25,143.38,142.23,143.3,6821786
2024-05-10,143.49,144.09,143.39,143.59,6325067
2024-05-13,143.88,144.01,143.19,143.45,5351464
2024-05-14,143.65,144.13,143.11,144.06,6198799
2024-05-15,144.7,146.36,144.64,146.2,8433670
2024-05-16,145.89,146.44,145.62,146.03,6741009
2024-05-17,146,146.34,145.44,146.31,7071646
2024-05-20,146.16,146.3551,145.69,146,3890023
2024-05-21,146.26,146.88,145.88,146.25,4048888
2024-05-22,145.86,146.945,145.77,146.51,6831234
2024-05-23,146.27,146.2801,144.805,144.91,5155939
2024-05-24,145.1,145.33,144.33,144.42,3949525
2024-05-28,144.1,144.1,142.07,142.67,8375071
2024-05-29,141.45,141.73,140.95,141.56,6838269
2024-05-30,140.99,142.14,140.675,141.63,7395616
2024-05-31,142.08,143.775,141.91,143.7,7945890
2024-06-03,143.6,145.135,143.35,144.71,10298305
2024-06-04,144.58,145.53,144.04,145.13,6964248
2024-06-05,145.3,145.945,144.49,145.79,5373456
2024-06-06,145.68,146.58,145.18,146.27,5425770
2024-06-07,146.13,147.16,145.96,146.43,5222299
2024-06-10,146.2,147.005,145.67,146.97,5397727
2024-06-11,146.86,146.86,145.73,146.36,5194123
2024-06-12,146.99,147.04,145.67,146.05,6522859
2024-06-13,145.51,146.17,144.58,145.93,4720590
2024-06-14,145.63,145.92,145.025,145.88,4109831
2024-06-17,145.26,145.955,144.96,145.73,4542990
2024-06-18,145.89,146.4,145.6,145.92,4872625
2024-06-20,145.47,146.59,145.27,146.4,6653759
2024-06-21,146.59,147.12,146.235,146.81,8513040
2024-06-24,146.83,147.61,146.45,147.09,6446290
2024-06-25,147.26,147.465,146.275,146.63,5171672
2024-06-26,146.37,146.625,145.77,146.11,4572683
2024-06-27,146.22,146.28,145.03,145.87,4637944
2024-06-28,146.41,147.02,145.1,145.75,7656778
2024-07-01,146.04,147.485,144.6542,144.93,6562067
2024-07-02,144.41,144.62,143.59,144.4,7536335
2024-07-03,144.66,144.67,142.73,143.3,7653965
2024-07-05,143.61,144.49,142.88,144.41,4846865
2024-07-08,144.57,144.97,143.88,144.25,4001547
2024-07-09,144.56,145.03,143.7,144.95,8337123
2024-07-10,145.11,146.34,144.79,146.32,5342450
2024-07-11,146.33,147.74,146.15,147.35,7692935
2024-07-12,147.85,148.885,147.74,148.27,6614662
2024-07-15,148.84,148.98,147.53,147.75,5804116
2024-07-16,148.64,149.89,148.31,149.86,7602476
2024-07-17,148.83,151.33,148.64,150.54,10395531
2024-07-18,149.58,150.56,146.86,147.12,11033367
2024-07-19,147.86,148.58,147.28,147.87,5985687
2024-07-22,148.62,148.99,147.88,148.72,5190313
2024-07-23,149.33,149.42,148.465,148.63,3553334
2024-07-24,148.71,150.055,148.21,149.87,6870395
2024-07-25,149.42,151.53,148.96,149.12,11472752
2024-07-26,149.1,150.93,149.01,149.96,6028837
2024-07-29,149.98,150.56,149.26,150.05,8227400
2024-07-30,150.05,151.11,149.11,150.18,7269477
2024-07-31,150.12,150.66,149.05,149.63,8417891
2024-08-01,150.4,151.33,149.49,151.16,10357711
2024-08-02,151.39,151.77,148.62,150.86,15742298
2024-08-05,148.5,148.79,146.19,146.83,17575636
2024-08-06,147.42,149.38,146.95,147.51,13335705
2024-08-07,147.41,148.12,145.54,146.01,11484999
2024-08-08,148.29,149.365,147.62,149.24,11479079
2024-08-09,149.5,150.36,149.18,149.98,8550467
2024-08-12,150.34,150.34,148.98,149.41,5044497
2024-08-13,150,151.365,149.83,151.22,4815735
2024-08-14,151.03,151.98,150.67,151.76,4837347
2024-08-15,152.46,152.95,151.75,152.71,5886933
2024-08-16,152.66,153.115,152.23,152.87,4562665
2024-08-19,152.88,153.935,152.79,153.8,4729719
2024-08-20,154.21,155.21,154.05,154.42,4878366
2024-08-21,154.74,155.08,154.136,154.68,5530111
2024-08-22,155.2,155.35,153.9869,154.78,4951898
2024-08-23,155.19,155.56,154.64,155.45,4069501
2024-08-26,155.6,156.08,155.22,155.37,4433688
2024-08-27,155.52,156.04,155.06,155.61,3785444
2024-08-28,155.51,156.435,155.06,155.79,5150093
2024-08-29,156.41,156.83,155.46,156.12,4339350
2024-08-30,156.23,157.28,155.55,157.2,7020703
2024-09-03,156.88,157.84,156.47,156.9,7674912
2024-09-04,156.69,159.64,155.86,156.63,8235494
2024-09-05,156.46,156.55,153.73,154.48,7245564
2024-09-06,155.02,155.66,153.63,153.95,7652025
2024-09-09,154.34,155.52,153.75,155.03,6169412
2024-09-10,155.24,155.85,154.66,155.74,7337319
2024-09-11,155.18,155.46,152.85,155.28,6636620
2024-09-12,155.24,155.98,153.79,155.84,4838262
2024-09-13,155.91,156.64,155.7,156.16,4358649
2024-09-16,156.98,157.59,156.67,157.24,4711902
2024-09-17,157.05,157.09,155.075,155.62,6279990
2024-09-18,155.49,156.98,154.76,155.36,7148920
2024-09-19,156.76,156.76,155.51,155.92,6717643
2024-09-20,155.41,155.98,154.895,155.28,8541635
2024-09-23,155.19,155.21,154.12,154.4,6416424
2024-09-24,154.33,154.39,153.36,154.09,5341811
2024-09-25,154.56,154.78,152.525,152.59,5940096
2024-09-26,152.49,153.29,152.23,153.1,6173093
2024-09-27,153.3,154.2,153.01,153.02,7312567
2024-09-30,152.81,154.06,152.58,154.02,7235028
2024-10-01,154.14,154.355,152.63,153.21,10560380
2024-10-02,153.02,153.38,151.87,152.9,7158480
2024-10-03,152.52,152.66,151.24,151.52,5550985
2024-10-04,151.75,152.02,150.88,151.64,6591450
2024-10-07,151.65,152.11,150.685,150.97,5922859
2024-10-08,151.37,152.03,151.24,151.79,4726590
2024-10-09,151.93,153.46,151.57,153.34,7840031
2024-10-10,153.34,153.46,152.395,152.77,4385633
2024-10-11,153.25,154.07,153.03,153.89,9354102
2024-10-14,154.06,155.015,153.53,154.74,4819781
2024-10-15,152.67,154.585,152.51,152.85,9088576
2024-10-16,152.65,153.6059,152.24,153.28,4510189
2024-10-17,152.77,153.02,152.29,152.39,5430044
2024-10-18,152.5,153.495,152.06,153.13,9823968
2024-10-21,152.73,153.14,151.18,151.33,4825870
2024-10-22,150.53,151.39,150.4,151.11,5166889
2024-10-23,150.7,150.93,149.6,150.4,4910436
2024-10-24,150.4,151.005,149.37,149.41,5066266
2024-10-25,149.92,150,148.42,148.59,5314527
2024-10-28,149.01,149.49,148.62,148.81,4923484
2024-10-29,148.71,149.32,148.33,148.4,7342579
2024-10-30,146.14,148.17,145.62,148.12,9211829
2024-10-31,147.24,147.93,146.84,146.87,6701204
2024-11-01,147.44,148.47,147.43,147.74,6896929
2024-11-04,147.38,148.09,146.48,146.77,5985990
2024-11-05,146.48,147.89,145.94,147.85,5035268
2024-11-06,150.67,150.91,147.35,148.04,10685862
2024-11-07,148.93,149.29,148.21,149.11,9381574
2024-11-08,149.31,150.945,149.14,150.18,8701068
2024-11-11,149.79,150.6,149.08,149.3,6072124
2024-11-12,149,149.31,147.185,147.22,7022700
2024-11-13,147.13,147.6,146.675,146.83,5981289
2024-11-14,146.53,146.59,144.36,144.52,7936741
2024-11-15,143.7131,143.85,141.57,141.84,14246068
2024-11-18,141.47,142.09,141.31,141.94,7933235
2024-11-19,140.73,141.61,140.26,141.21,6205830
2024-11-20,141.61,143.08,141.28,142.88,9328841
2024-11-21,142.9,144.23,142.14,144.03,7969570
2024-11-22,144.47,145.02,143.935,144.16,6330311
2024-11-25,144.89,145.85,144.79,145.39,6834366
2024-11-26,145.78,146.33,144.69,146.17,6018641
2024-11-27,146.355,147.7552,146.31,146.95,5953240
2024-11-29,146.92,147.79,146.71,147.41,3521247
2024-12-02,147.325,147.38,146.39,147.15,6220907
2024-12-03,147.13,147.43,146.74,146.82,4236349
2024-12-04,147.1,147.58,146.36,146.74,5597844
2024-12-05,146.07,146.25,144.83,145.1,8948940
2024-12-06,145.3,145.46,144.105,144.28,6545159
2024-12-09,144.42,145.09,143.92,144.7,6258634
2024-12-10,145.07,145.1,143.615,144.1,7200614
2024-12-11,143.52,143.64,142.105,142.14,6895008
2024-12-12,142.21,142.54,140.91,141.01,5994213
2024-12-13,140.79,141.45,140.1299,140.99,7599399
2024-12-16,140.88,141.65,139.2,139.31,9476630
2024-12-17,138.6502,140.24,138.6,139.21,10280072
2024-12-18,139.12,140.04,137.225,137.32,14448057
2024-12-19,137.07,137.8,135.945,136.28,11929337
2024-12-20,137.475,139.295,137.05,138,12098414
2024-12-23,137.7,138.945,136.99,138.75,8050472
2024-12-24,138.56,139.325,138.04,139.32,3139251
2024-12-26,138.81,139.7199,138.68,139.6,4720422
2024-12-27,138.75,139.81,138.36,138.95,5948122
2024-12-30,138.135,138.15,136.73,137.24,6890556
2024-12-31,137.59,138.12,136.785,137.57,6627203
2025-01-02,138.35,138.77,137.12,137.61,8973032
2025-01-03,137.89,139.3499,137.74,138.96,8289345
2025-01-06,138.865,140.04,138.56,139.02,8653497
2025-01-07,139.44,140.93,139.36,139.71,12639744
2025-01-08,139.97,140.635,138.69,140.43,7827396
2025-01-10,139.78,140.95,139.355,139.64,10344054
2025-01-13,139.92,141.82,139.67,141.46,9422242
2025-01-14,141.21,141.27,138.88,140,10277827
2025-01-15,140.315,141.24,139.77,140.57,11388426
2025-01-16,140.13,141.34,139.58,141.13,8512136
